symbol,output,real_price
PCAR,107.9584732055664,107.24
PCG,21.34571647644043,19.86
PEG,86.97940063476562,85.7
PEP,146.5233612060547,146.27
PFE,26.935691833496094,26.89
PFG,76.97406005859375,77.82
PG,162.1988525390625,160.6
PGR,239.92276000976562,239.59
PH,639.5703735351562,641.0
PHM,109.68488311767578,108.93
PKG,228.98329162597656,227.08
PLD,108.08273315429688,106.66
PLTR,76.22775268554688,75.92
PNR,101.96415710449219,99.52
PNW,82.53723907470703,83.09
PODD,270.0117492675781,268.41
POOL,331.6253356933594,332.51
PPG,112.03411102294922,115.07
PPL,32.269371032714844,31.73
PRU,119.1471176147461,118.64
PSA,295.21051025390625,295.83
PSX,114.06201171875,115.17
PTC,185.92979431152344,184.83
PWR,326.77178955078125,328.06
PYPL,89.43174743652344,89.53
QCOM,162.6483154296875,159.85
RCL,229.37461853027344,228.41
REG,71.20347595214844,71.08
REGN,716.3901977539062,716.26
RL,240.4146728515625,242.96
RMD,230.7349395751953,235.09
ROK,282.9548645019531,281.46
ROL,46.628292083740234,45.65
ROP,505.9293518066406,507.1
ROST,156.173095703125,154.95
RSG,199.4473419189453,200.95
RTX,112.82135772705078,114.1
RVTY,116.60955047607422,115.59
SCHW,74.45734405517578,74.48
SHW,336.5867004394531,337.82
SJM,107.15821838378906,109.16
SLB,39.283199310302734,38.76
SMCI,36.431968688964844,36.45
SNA,335.5167236328125,334.58
SNPS,494.3564147949219,501.06
SO,80.80638885498047,80.96
SPG,175.79930114746094,174.41
SPGI,494.5198974609375,494.19
SRE,84.00271606445312,84.51
STE,201.92288208007812,204.01
STLD,114.48081970214844,118.64
STZ,223.6680145263672,222.93
SWK,79.70645904541016,82.65
SWKS,86.14926147460938,90.905
SYK,364.8904113769531,361.36
SYY,74.92510986328125,74.74
T,22.356868743896484,22.6
TAP,57.64936065673828,55.96
TDY,456.0550231933594,455.51
TECH,74.38060760498047,74.25
TEL,141.99420166015625,143.44
TER,141.22784423828125,140.0
TFX,181.4285430908203,180.49
TGT,143.80307006835938,139.29
TJX,122.70941162109375,120.88
TMO,537.5960693359375,537.19
TMUS,211.8652801513672,212.38
TPL,1227.5184326171875,1226.63
TPR,65.4748306274414,67.66
TRGP,185.88197326660156,186.16
TRMB,72.01370239257812,71.1
TROW,113.16104125976562,114.33
TRV,241.02191162109375,241.88
TSCO,58.462249755859375,53.65
TSLA,414.2324523925781,411.05
TSN,56.53045654296875,56.8
TT,381.7688903808594,383.52
TTWO,187.48814392089844,188.98
TXN,193.93829345703125,192.18
TXT,75.39061737060547,75.41
TYL,577.1190185546875,575.84
UAL,98.05633544921875,98.57
UBER,67.27241516113281,66.31
UDR,42.74241638183594,41.49
UHS,182.15196228027344,181.06
ULTA,431.57861328125,431.3
UNH,513.1705932617188,513.67
UNP,230.32427978515625,230.01
UPS,125.46317291259766,124.21
URI,684.3665771484375,684.0
V,315.5315246582031,313.04
VICI,29.093626022338867,29.56
VLO,120.41742706298828,122.12
VMC,257.0122375488281,257.38
VRSK,272.029296875,273.0
VRTX,403.0057678222656,402.49
VST,162.3527374267578,163.95
VTR,56.37440490722656,56.9
VTRS,10.91677188873291,11.95
VZ,41.05680847167969,39.61
WAB,189.66627502441406,192.23
WAT,379.3226013183594,377.1
WBA,9.253260612487793,9.47
WBD,12.742956161499023,10.83
WDAY,255.86390686035156,254.14
WEC,89.09961700439453,92.12
WELL,122.81647491455078,124.05
WM,203.0336151123047,201.76
WMB,56.507625579833984,55.81
WMT,91.907958984375,91.43
WRB,58.93375015258789,57.22
WST,329.5806884765625,332.72
WTW,307.4855041503906,306.61
WY,29.01777458190918,28.5
XEL,65.771240234375,65.14
XOM,106.09564208984375,107.74
XYL,116.52484130859375,116.84
ZBH,104.11652374267578,103.56
ZBRA,395.3455810546875,395.33
ZTS,167.0098419189453,165.9
ZBRA,395.3455810546875,395.33
ZTS,167.0098419189453,165.9
